,LANGID,TLC,WIKI,START,LAT,LONG,#utt0,MCD0,#utt1,MCD1,Dur,MCDB,MCDR,NAME
129,CTUBSM,ctu,https://en.wikipedia.org/wiki/Ch%E2%80%99ol_language,http://listen.bible.is/CTUBSM/Matt/1/D,17.4897,-92.4698,5833,7.46,11063,7.05,13:20:04,5.28,5.09,Chol Tumbala
130,CUCTBL,cuc,https://en.wikipedia.org/wiki/Usila_Chinantec,http://listen.bible.is/CUCTBL/Matt/1/D,17.9184,-96.4074,964,7.57,4299,6.65,07:50:16,5.85,5.72,Chinanteco de Usila
131,CUIWBT,cui,https://en.wikipedia.org/wiki/Cuiba_language,http://listen.bible.is/CUIWBT/Matt/1/D,6.19829,-69.8197,14749,7.39,12557,7.31,26:49:44,5.54,5.33,Cuiba
132,CUKNVS,cuk,https://en.wikipedia.org/wiki/Kuna_language,http://listen.bible.is/CUKNVS/Matt/1/D,9.15686,-78.3075,10009,6.23,14518,6.06,25:53:31,4.83,4.71,Kuna San Blas
133,CWEPBT,cwe,https://en.wikipedia.org/wiki/Kwere_language,http://listen.bible.is/CWEPBT/Matt/1/D,-6.50666,38.4449,7291,8.25,8581,7.51,16:53:34,5.14,5.04,Kwere
134,CWTATB,cwt,https://en.wikipedia.org/wiki/Kwatay_language,http://listen.bible.is/CWTATB/Matt/1/D,12.48255,-16.74835,10196,7.85,12633,7.40,19:15:36,5.94,5.66,Kwatay
135,CYAAVV,cya,https://en.wikipedia.org/wiki/Highland_Chatino,http://listen.bible.is/CYAAVV/Matt/1/D,16.0954,-97.1339,7261,8.44,5833,8.84,15:19:54,7.43,7.14,Chatino Nopala
136,DA1EST,dni,https://en.wikipedia.org/wiki/Dan_language,http://listen.bible.is/DA1EST/Matt/1/D,-4.25684,138.992,606,8.02,4687,6.93,11:07:12,6.04,5.77,"Dan, East"
137,DAAWYI,daa,https://en.wikipedia.org/wiki/Dangal%C3%A9at_language,http://listen.bible.is/DAAWYI/Matt/1/D,12.1517,18.385,4087,7.78,10304,7.04,16:10:55,5.80,5.54,Dangaléat
138,DAHPNG,dah,https://en.wikipedia.org/wiki/Gwahatike_language,http://listen.bible.is/DAHPNG/Matt/1/D,-5.64555,146.455,8100,7.60,13077,7.03,23:48:18,5.59,5.43,Gwahatike
139,DBQWYI,dbq,https://en.wikipedia.org/wiki/Daba_language,http://listen.bible.is/DBQWYI/Matt/1/N,10.3521,13.6318,12389,7.09,20188,0.00,26:42:07,5.93,5.66,Daba
140,DESWBT,des,https://en.wikipedia.org/wiki/Desano_language,http://listen.bible.is/DESWBT/Matt/1,0.58157,-69.4955,3654,7.48,9588,7.46,20:09:38,6.66,6.38,Desano
141,DGABSG,dga,https://en.wikipedia.org/wiki/Dagaare_language,http://listen.bible.is/DGABSG/Matt/1,10.4226,-2.52265,5094,7.24,10970,6.52,20:09:03,5.65,5.47,"Dagaare, Southern"
142,DGIABB,dgi,https://en.wikipedia.org/wiki/Dagaare_language,http://listen.bible.is/DGIABB/Matt/1,11.0441,-3.0124,1455,9.12,5611,7.33,09:49:48,6.19,5.96,"Dagara, Northern"
143,DIKTBL,dik,https://en.wikipedia.org/wiki/Dinka_language,http://listen.bible.is/DIKTBL/Matt/1/D,8.81115,28.0613,3508,7.85,8268,7.55,14:14:19,6.35,6.07,"Dinka, Rek"
144,DJKWBT,djk,https://en.wikipedia.org/wiki/Ndyuka_language,http://listen.bible.is/DJKWBT/Matt/1/D,4.3126,-54.6419,17740,7.90,15392,7.82,21:27:43,6.09,5.87,Aukaans
145,DOMBEC,acf,https://en.wikipedia.org/wiki/Saint_Lucian_Creole,http://listen.bible.is/DOMBEC/Matt/1/D,15.3947,-61.3641,4263,6.89,12286,5.83,21:19:31,4.90,4.77,Saint Lucian Creole
146,DOPBSB,dop,https://en.wikipedia.org/wiki/Lukpa_language,http://listen.bible.is/DOPBSB/Matt/1/D,9.51949,1.66954,2184,8.39,10741,7.95,17:16:21,5.84,5.65,Lokpa
147,DSHBTL,dsh,https://en.wikipedia.org/wiki/Daasanach_language,http://listen.bible.is/DSHBTL/Matt/1/D,4.58879,35.9888,7783,6.91,13253,6.50,26:39:19,5.77,5.54,Daasanach
148,DTPBSM,dtp,https://en.wikipedia.org/wiki/Dusun_language,http://listen.bible.is/DTPBSM/Matt/1/D,6.02998,116.681,9405,9.07,11494,8.50,25:43:33,6.35,6.21,"Dusun, Central"
149,DTSABM,dts,https://en.wikipedia.org/wiki/Dogon_languages,http://listen.bible.is/DTSABM/Matt/1/D,14.40749,-3.10006,1748,9.21,6784,8.21,10:35:52,6.87,6.52,"Dogon, Toroso"
150,DUGBTL,dug,https://en.wikipedia.org/wiki/Mijikenda_language,http://listen.bible.is/DUGBTL/Matt/1/D,-4.09629,39.322,10288,7.24,11676,6.70,25:06:53,5.78,5.56,Duruma
151,DWRTBL,dwr,https://en.wikipedia.org/wiki/Gamo-Gofa-Dawro_language,http://listen.bible.is/DWRTBL/Matt/1/D,6.95,37.0,13279,8.27,10870,8.27,18:29:40,7.21,6.88,Dawro
152,DYIIBS,dyi,https://en.wikipedia.org/wiki/Djimini_language,http://listen.bible.is/DYIIBS/Matt/1/D,8.36279,-4.45627,4013,8.22,13928,7.10,22:20:24,5.55,5.32,"Senoufo, Djimini"
153,DYOBSG,dyo,https://en.wikipedia.org/wiki/Jola-Fonyi_language,http://listen.bible.is/DYOBSG/Matt/1/D,12.75752,-15.7354766667,6531,7.71,7356,7.10,15:09:33,6.32,6.06,Jola-Fogny
154,DYUBSB,dyu,https://en.wikipedia.org/wiki/Dyula_language,http://listen.bible.is/DYUBSB/Matt/1/D,10.4536,-4.72007,4109,8.27,11145,7.10,15:37:56,5.88,5.66,Jula
155,EKAWYI,eka,https://en.wikipedia.org/wiki/Kajuk_language,http://listen.bible.is/EKAWYI/Matt/1/D,6.45731,8.55058,9138,7.74,10134,7.45,20:33:04,6.23,5.99,Ekajuk
156,EMPWYI,emp,https://en.wikipedia.org/wiki/Embera_language,http://listen.bible.is/EMPWYI/Matt/1/D,7.12761,-77.574,2071,8.06,7647,7.30,13:57:29,6.29,6.09,"Embera, Northern"
157,EN1NIV,eng,https://en.wikipedia.org/wiki/English_language,http://listen.bible.is/EN1NIV/Matt/1/D,53.0,-1.0,10391,6.73,10251,6.94,13:41:58,5.83,5.65,English
158,ENBBTL,enb,https://en.wikipedia.org/wiki/Markweta_language,http://listen.bible.is/ENBBTL/Matt/1/D,1.15018,35.5866,5039,8.11,9216,7.31,15:28:00,6.14,5.94,Marakwet
159,ENXBSP,enx,https://en.wikipedia.org/wiki/Enxet_language,http://listen.bible.is/ENXBSP/Matt/1/D,unknown,unknown,6785,6.69,10943,5.99,22:09:42,4.99,4.90,Enxet
160,ERVWTC,kan,https://en.wikipedia.org/wiki/Kannada,http://listen.bible.is/ERVWTC/Matt/1/N,13.5878,76.1198,4155,6.77,7499,6.61,22:48:19,5.70,5.58,ಕನ್ನಡ
161,ESENTM,ese,https://en.wikipedia.org/wiki/Ese_Ejja_language,http://listen.bible.is/ESENTM/Matt/1/D,-11.7268,-67.515,10220,6.81,22035,6.54,42:22:22,5.08,4.98,Ese Ejja
162,ESSWYI,ess,https://en.wikipedia.org/wiki/Siberian_Yupik,http://listen.bible.is/ESSWYI/Matt/1/D,63.4308,-170.272,7037,5.83,11108,5.79,21:26:12,4.68,4.58,St. Lawrence Island Yupik
163,EUSEAB,eus,https://en.wikipedia.org/wiki/Basque_language,http://listen.bible.is/EUSEAB/Matt/1/D,43.2787,-1.31622,11949,6.52,12739,6.15,18:24:52,5.11,5.00,Euskara
164,EWEBSG,ewe,https://en.wikipedia.org/wiki/Ewe_language,http://listen.bible.is/EWEBSG/Matt/1/N,6.46061,0.814975,8008,7.10,11887,6.32,18:06:10,5.38,5.26,Ewe
165,FALTBL,fal,https://en.wikipedia.org/wiki/Fali_languages_(Cameroon),http://listen.bible.is/FALTBL/Matt/1/D,9.51408,13.6164,7574,8.05,10699,7.70,16:23:48,5.59,5.40,"Fali, South"
166,FARWBT,far,https://en.wikipedia.org/wiki/Fataleka_language,http://listen.bible.is/FARWBT/Matt/1/D,-8.59041,160.861,12970,5.99,13376,6.29,31:07:17,4.93,4.81,Fataleka
167,FIJBSP,fij,https://en.wikipedia.org/wiki/Fijian_language,http://listen.bible.is/FIJBSP/Matt/1/D,-18.0,178.33,7938,7.75,7248,7.57,17:34:41,6.74,6.52,Fijian
168,FIN38V,fin,https://en.wikipedia.org/wiki/Finnish_language,http://listen.bible.is/FIN38V/Matt/1/N,64.7628,25.5577,9221,6.16,12191,5.21,17:41:40,4.78,4.72,Suomi
169,FIZTBL,izr,https://en.wikipedia.org/wiki/Izere_language,http://listen.bible.is/FIZTBL/Matt/1/D,9.5,8.7,7836,7.54,9813,6.78,18:57:37,5.89,5.65,Izere
170,FLMUBS,cfm,https://en.wikipedia.org/wiki/Falam_language,http://listen.bible.is/FLMUBS/Matt/1/D,23.7892833333,92.3254633333,11834,7.29,14152,6.69,22:19:30,5.53,5.36,"Chin, Falam"
171,FONBSB,fon,https://en.wikipedia.org/wiki/Fon_language,http://listen.bible.is/FONBSB/Matt/1/D,7.15484,1.66495,2605,8.73,12448,0.00,17:10:36,5.73,5.58,Fon (Fongbe)
172,FRDWBT,frd,https://en.wikipedia.org/wiki/Fordata_language,http://listen.bible.is/FRDWBT/Matt/1/N,-7.28902,131.511,13916,5.37,14430,5.31,27:55:36,4.52,4.39,Fordata
173,FRNPDC,fra,https://en.wikipedia.org/wiki/French_language,http://listen.bible.is/FRNPDC/Matt/1/D,48.0,2.0,10819,8.03,5628,8.19,11:55:32,7.40,7.12,Français
174,FUFPBT,fuf,https://en.wikipedia.org/wiki/Pular_language,http://listen.bible.is/FUFPBT/Matt/1/D,12.1826,-12.7338,5032,8.13,8988,7.61,16:26:57,5.64,5.47,Pular
175,FUQWBT,fuq,https://en.wikipedia.org/wiki/Fula_language,http://listen.bible.is/FUQWBT/Matt/1/D,15.0907,8.43261,7076,8.52,12146,7.06,16:49:34,5.88,5.66,"Fulfulde, Central Eastern Niger"
176,GAGIBT,gag,https://en.wikipedia.org/wiki/Gagauz_language,http://listen.bible.is/GAGIBT/Matt/1/D,44.5988,28.0277,7377,6.79,10887,5.62,15:34:39,4.36,4.21,Gagauz
177,GBILAI,gbi,https://en.wikipedia.org/wiki/Galela_language,http://listen.bible.is/GBILAI/Matt/1/D,2.31461,128.44,13126,7.00,13958,7.17,38:10:30,5.84,5.64,Galela
178,GDEWBT,gde,https://en.wikipedia.org/wiki/Gude_language,http://listen.bible.is/GDEWBT/Matt/1/D,10.2138,13.403,1665,7.68,8709,7.29,15:22:52,6.32,6.03,Gude
179,GEJBS2,gej,https://en.wikipedia.org/wiki/Gen_language,http://listen.bible.is/GEJBS2/Matt/1/D,6.25971,1.67727,1226,8.36,10652,7.29,18:07:32,5.91,5.67,Mina
180,GILBSP,gil,https://en.wikipedia.org/wiki/Gilbertese_language,http://listen.bible.is/GILBSP/Matt/1/D,-1.34,176.44,9325,7.35,9803,7.01,19:21:19,5.64,5.46,Kiribati
181,GKNIBS,gkn,https://en.wikipedia.org/wiki/Gokana_language,http://listen.bible.is/GKNIBS/Matt/1/D,4.61889,7.34457,1044,8.43,4677,7.97,08:40:03,7.13,6.75,Gokana
182,GMVTBL,gmv,https://en.wikipedia.org/wiki/Gamo-Gofa-Dawro_language,http://listen.bible.is/GMVTBL/Matt/1/D,6.27645,37.23808,11319,7.59,12544,7.19,16:38:33,5.81,5.65,Gamo
183,GNGWYI,gng,https://en.wikipedia.org/wiki/Ngangam_language,http://listen.bible.is/GNGWYI/Matt/1/D,10.2523,0.70509,4737,8.66,10560,8.04,15:57:26,6.55,6.32,Gangam
184,GNWNTM,gnw,https://en.wikipedia.org/wiki/Western_Bolivian_Guarani,http://listen.bible.is/GNWNTM/Matt/1/D,-20.2819,-64.1662,12521,7.47,15886,7.19,25:13:17,4.98,4.89,"Guaraní, Western Bolivian"
185,GO1TBL,gof,https://en.wikipedia.org/wiki/Gamo-Gofa-Dawro_language,http://listen.bible.is/GO1TBL/Matt/1/D,6.57645,37.05,1803,6.67,3791,6.51,08:22:54,5.98,5.77,Goffa
186,GOGBST,gog,https://en.wikipedia.org/wiki/Gogo_language,http://listen.bible.is/GOGBST/Matt/1/D,-6.35951,35.4807,7382,7.66,9774,6.97,21:29:54,5.88,5.74,Chigogo
187,GORLAI,gor,https://en.wikipedia.org/wiki/Gorontalo_language,http://listen.bible.is/GORLAI/Matt/1/D,0.62689,122.288,10254,6.64,12172,6.15,26:36:34,5.25,5.12,Gorontalo
188,GQRWBT,gqr,https://en.wikipedia.org/wiki/Doba_language,http://listen.bible.is/GQRWBT/Matt/1/D,8.0841,17.0713,2522,7.60,11194,6.51,19:53:01,5.52,5.36,Gor
189,GSOCAR,gso,https://en.wikipedia.org/wiki/Biyanda-Buli_language,http://listen.bible.is/GSOCAR/Matt/1/D,4.70037,14.9569,3962,8.38,10349,7.61,15:50:10,5.71,5.55,"Gbaya, Southwest"
190,GU1WBT,gur,https://en.wikipedia.org/wiki/Frafra_language,http://listen.bible.is/GU1WBT/Matt/1/D,11.0918,-0.81109,1915,8.91,7286,8.12,13:40:00,6.83,6.52,Ninkare
191,GUBWBT,gub,https://en.wikipedia.org/wiki/Tenetehara_language,http://listen.bible.is/GUBWBT/Matt/1/D,-4.69461,-45.7081,27164,7.03,29941,6.41,40:22:59,5.19,5.08,Guajajára
192,GUDBSC,gud,https://en.wikipedia.org/wiki/Dida_language,http://listen.bible.is/GUDBSC/Matt/1/D,5.40126,-5.12242,3492,8.04,9214,6.95,15:47:06,5.33,5.16,"Dida, Yocoboué"
193,GUGRPV,gug,https://en.wikipedia.org/wiki/Guarani_language,http://listen.bible.is/GUGRPV/Matt/1/D,-25.60551,-57.08816,9726,7.36,10658,6.59,16:22:27,5.17,5.00,"Guarani, Paraguayan"
194,GUHWBT,guh,https://en.wikipedia.org/wiki/Guahibo_language,http://listen.bible.is/GUHWBT/Matt/1/D,5.81736,-68.9839,13028,7.34,12346,7.64,30:23:19,6.85,6.68,Guahibo
195,GUISBU,gui,https://en.wikipedia.org/wiki/Eastern_Bolivian_Guaran%C3%AD_language,http://listen.bible.is/GUISBU/Matt/1/D,-21.0909,-61.7179,4829,8.54,5136,8.15,09:34:11,7.46,7.24,"Guarani, Bolivian"
196,GUMTBL,gum,https://en.wikipedia.org/wiki/Coconucan_language,http://listen.bible.is/GUMTBL/Matt/1/D,2.55849,-76.582,5959,6.98,11523,6.37,25:20:09,4.85,4.73,Guambiano
197,GUOWBT,guo,https://en.wikipedia.org/wiki/Guayabero_language,http://listen.bible.is/GUOWBT/Matt/1/D,2.8969,-71.844,11193,7.71,15162,7.56,24:52:57,6.60,6.41,Guayabero
198,GUQLPY,guq,https://en.wikipedia.org/wiki/Ach%C3%A9_language,http://listen.bible.is/GUQLPY/Matt/1/D,-25.5865,-56.4697,7283,6.86,13169,6.08,24:10:09,5.15,5.05,Aché
199,GUXABB,gux,https://en.wikipedia.org/wiki/Gourmanch%C3%A9_language,http://listen.bible.is/GUXABB/Matt/1/D,11.6711,1.28489,9359,7.76,10291,7.26,16:12:08,6.04,5.87,Gulmancema
200,GVCTBL,gvc,https://en.wikipedia.org/wiki/Wanano_language,http://listen.bible.is/GVCTBL/Matt/1/D,1.07554,-69.5705,8359,7.22,10341,7.36,22:36:55,6.02,5.80,Guanano
201,GVLABT,gvl,https://en.wikipedia.org/wiki/Gulay_language,http://listen.bible.is/GVLABT/Matt/1/D,9.06629,17.3151,2005,8.68,6906,7.80,10:33:04,6.55,6.30,Gulei
202,GWRWBT,gwr,https://en.wikipedia.org/wiki/Gwere_language,http://listen.bible.is/GWRWBT/Matt/1/D,1.11392,33.8227,10959,6.27,11798,6.11,27:39:32,5.41,5.25,Lugwere
203,GYMWBT,gym,https://en.wikipedia.org/wiki/Guaym%C3%AD_language,http://listen.bible.is/GYMWBT/Matt/1/D,8.8251,-82.3911,9948,7.22,7785,6.44,18:54:51,5.28,5.18,Guaymi
204,GYRSBB,gyr,https://en.wikipedia.org/wiki/Guarayu_language,http://listen.bible.is/GYRSBB/Matt/1/D,-15.8247,-61.6934,6577,6.86,11301,6.79,21:20:12,5.71,5.57,Guarayo
205,HAEBSE,hae,https://en.wikipedia.org/wiki/Oromo_language,http://listen.bible.is/HAEBSE/Matt/1/D,8.67428,41.4395,10527,6.67,12089,6.48,23:48:29,5.65,5.43,"Oromo, Eastern"
206,HAGGIL,hag,https://en.wikipedia.org/wiki/Hanga_language,http://listen.bible.is/HAGGIL/Matt/1/D,9.33929,-1.57833,5712,7.75,7807,7.18,13:19:30,6.18,5.93,Hanga
207,HAKTHV,hak,https://en.wikipedia.org/wiki/Hakka_Chinese,http://listen.bible.is/HAKTHV/Matt/1/D,25.0,116.0,4298,7.46,2902,6.35,04:23:25,5.95,5.73,Hakka
208,HATSBH,hat,https://en.wikipedia.org/wiki/Haitian_Creole,http://listen.bible.is/HATSBH/Matt/1/D,18.795135,-72.136115,12806,7.61,15934,6.99,19:15:16,5.48,5.36,Kreyòl ayisyen
209,HAUCLV,hau,https://en.wikipedia.org/wiki/Hausa_language,http://listen.bible.is/HAUCLV/Matt/1/D,11.1513,8.7804,9441,6.16,11323,5.74,20:40:13,4.95,4.81,Hausa
210,HAYBST,hay,https://en.wikipedia.org/wiki/Haya_language,http://listen.bible.is/HAYBST/Matt/1/D,-1.70878,31.4846,8004,7.92,9971,7.11,17:18:49,5.74,5.60,Ruhaya
211,HBRHMT,heb,https://en.wikipedia.org/wiki/Hebrew_language,http://listen.bible.is/HBRHMT/Matt/1/D,31.1056,35.0179,459,7.88,495,8.22,00:46:19,7.37,7.06,עברית
212,HEHBST,tlx,https://en.wikipedia.org/wiki/Khehek_language,http://listen.bible.is/HEHBST/Matt/1/D,-2.06626,146.746,9588,7.27,10948,9.12,21:09:10,5.93,5.77,Kihehe
213,HIFBSP,hif,https://en.wikipedia.org/wiki/Fiji_Hindi,http://listen.bible.is/HIFBSP/Matt/1/D,-17.8148,177.772,8505,7.70,11567,6.90,19:11:21,5.91,5.67,Fiji-Hindi
214,HIGTBL,hig,https://en.wikipedia.org/wiki/Kamwe_language,http://listen.bible.is/HIGTBL/Matt/1/D,10.646,13.5136,2208,8.24,12417,7.79,24:19:10,6.59,6.26,Higgi
215,HILHPV,hil,https://en.wikipedia.org/wiki/Hiligaynon_language,http://listen.bible.is/HILHPV/Matt/1/D,10.4018,122.974,10889,7.19,12014,6.74,23:55:46,5.84,5.66,Hiligaynon
216,HNDSKV,hin,https://en.wikipedia.org/wiki/Hindi,http://listen.bible.is/HNDSKV/Matt/1/N,25.0,77.0,6119,7.17,7864,6.53,17:49:08,5.90,5.68,हिंदी
217,HNEBGC,hne,https://en.wikipedia.org/wiki/Chhattisgarhi_language,http://listen.bible.is/HNEBGC/Matt/1/D,20.3601,82.0483,6036,6.87,5335,6.64,14:14:22,5.98,5.83,Chhattisgarhi
218,HNNOMF,hnn,https://en.wikipedia.org/wiki/Hanun%C3%B3%27o_language,http://listen.bible.is/HNNOMF/Matt/1/D,12.4159,121.221,12290,6.24,13757,5.96,24:40:57,5.02,4.93,Hanunoo
219,HNSWBT,hns,https://en.wikipedia.org/wiki/Caribbean_Hindustani,http://listen.bible.is/HNSWBT/Matt/1,5.722918,-55.333168,13585,7.45,15043,6.99,22:18:57,5.66,5.49,Sarnami Hindi
220,HTOWBT,hto,https://en.wikipedia.org/wiki/Minica_Huitoto,http://listen.bible.is/HTOWBT/Matt/1/D,-1.54535,-73.1107,7242,7.34,14055,7.01,24:59:29,5.24,5.06,"Huitoto, Minica"
221,HUBWBT,hub,https://en.wikipedia.org/wiki/Huambisa_language,http://listen.bible.is/HUBWBT/Matt/1/D,-3.99109,-77.9797,13925,6.41,16021,5.98,27:27:05,5.14,5.04,Huambisa
222,HUIPNG,hui,https://en.wikipedia.org/wiki/Huli_language,http://listen.bible.is/HUIPNG/Matt/1/D,-5.97212,142.963,7140,8.05,7479,7.72,18:22:15,5.61,5.52,Huli
223,HUSLLB,hus,https://en.wikipedia.org/wiki/Huastec_language,http://listen.bible.is/HUSLLB/Matt/1/D,21.6153,-98.5028,10767,6.78,13929,6.13,23:52:53,5.07,4.99,"Huasteco, Veracruz"
224,HUUTBL,huu,https://en.wikipedia.org/wiki/Murui_Huitoto_language,http://listen.bible.is/HUUTBL/Matt/1/D,-1.13669,-73.8331,18359,6.84,19211,6.41,25:19:10,4.95,4.87,Huitoto Murui
225,HUVTBL,huv,https://en.wikipedia.org/wiki/Huave_language,http://listen.bible.is/HUVTBL/Matt/1/D,16.2129,-95.0077,4523,7.84,7982,7.04,13:10:02,5.70,5.53,Huave de San Mateo del Mar
226,IBATIV,iba,https://en.wikipedia.org/wiki/Iban_language,http://listen.bible.is/IBATIV/Matt/1/D,2.09041,112.934,9558,7.03,11505,6.47,20:34:35,5.54,5.39,Iban
227,ICRWYI,icr,https://en.wikipedia.org/wiki/San_Andr%C3%A9s%E2%80%93Providencia_Creole,http://listen.bible.is/ICRWYI/Matt/1/D,12.55352,-81.70425,11385,7.12,13439,6.35,21:09:23,5.27,5.13,San Andres Islander Creole
228,IFAWBT,ifa,https://en.wikipedia.org/wiki/Ifugao_language,http://listen.bible.is/IFAWBT/Matt/1/D,16.9016,121.042,11338,6.17,12508,5.87,24:31:22,4.95,4.87,Central Ifugao
229,IFBTBL,ifb,https://en.wikipedia.org/wiki/Ifugao_language,http://listen.bible.is/IFBTBL/Matt/1/D,16.8266,121.23,10741,6.71,12262,6.24,26:54:36,5.22,5.13,Ayangan Ifugao
230,IFEWBT,ife,https://en.wikipedia.org/wiki/If%C3%A8_language,http://listen.bible.is/IFEWBT/Matt/1/D,7.63568,1.58494,580,8.35,2993,7.77,05:20:11,7.15,6.80,Ifè
231,IFKTBL,ifk,https://en.wikipedia.org/wiki/Tuwali_language,http://listen.bible.is/IFKTBL/Matt/1/D,16.6646,121.113,10388,7.14,11885,6.70,24:53:03,5.57,5.42,Tuwali Ifugao
232,IFUWPS,ifu,https://en.wikipedia.org/wiki/Ifugao_language,http://listen.bible.is/IFUWPS/Matt/1/D,16.9984,121.29,11588,6.18,13156,6.03,27:41:42,5.17,5.06,Mayoyao Ifugao
233,IFYWBT,ify,https://en.wikipedia.org/wiki/Kallahan_language,http://listen.bible.is/IFYWBT/Matt/1/D,16.7099,121.035,11072,6.45,12288,6.17,25:19:46,5.28,5.14,Antipolo Ifugao
234,IGNSBB,ign,https://en.wikipedia.org/wiki/Moxo_languages,http://listen.bible.is/IGNSBB/Matt/1/D,-15.1188,-65.3993,13066,7.14,12559,6.86,27:19:19,5.44,5.33,Ignaciano
235,ILORPV,ilo,https://en.wikipedia.org/wiki/Ilocano_language,http://listen.bible.is/ILORPV/Matt/1/D,15.9361,120.993,11123,7.15,13309,6.55,22:30:35,5.76,5.60,Ilocano
236,INBWBT,inb,https://en.wikipedia.org/wiki/Inga_Kichwa,http://listen.bible.is/INBWBT/Matt/1/D,1.00313,-76.8606,5096,7.41,12789,6.76,20:21:48,5.43,5.32,Inga
237,INZTSI,ind,https://en.wikipedia.org/wiki/Indonesian_language,http://listen.bible.is/INZTSI/Matt/1/D,-7.33458,109.716,13348,6.86,14904,6.36,30:33:50,5.27,5.12,Indonesian
238,IPIPNG,ipi,https://en.wikipedia.org/wiki/Ipili_language,http://listen.bible.is/IPIPNG/Matt/1/D,-5.42586,143.089,9550,6.87,8924,6.84,31:42:28,6.41,6.18,Ipili
239,IRIWYI,iri,https://en.wikipedia.org/wiki/Rigwe_language,http://listen.bible.is/IRIWYI/Matt/1/D,9.85197,8.6525,6629,7.72,7128,7.26,14:10:03,5.84,5.67,Irigwe
240,IRKBST,irk,https://en.wikipedia.org/wiki/Iraqw_language,http://listen.bible.is/IRKBST/Matt/1/D,-4.19948,35.2939,7000,8.35,6917,8.45,16:40:29,7.51,7.16,Kiiraqw
241,ITVSTP,itv,https://en.wikipedia.org/wiki/Itawis_language,http://listen.bible.is/ITVSTP/Matt/1/D,17.7329,121.58,10045,6.87,11346,6.56,24:43:55,5.25,5.17,Itawit
242,IX1WBT,ixl,https://en.wikipedia.org/wiki/Ixil_language,http://listen.bible.is/IX1WBT/Matt/1/D,15.4569,-90.8935,22532,6.04,23706,5.83,35:05:54,4.96,4.86,Ixil
243,JAISBG,jac,https://en.wikipedia.org/wiki/Jakaltek_language,http://listen.bible.is/JAISBG/Matt/1/D,15.6609,-91.6633,9565,6.88,14229,6.27,25:05:03,4.98,4.90,"Jacalteco, Western"
244,JAMBSW,jam,https://en.wikipedia.org/wiki/Jamaican_Patois,http://listen.bible.is/JAMBSW/Matt/1/D,18.13,-77.2612,10599,7.26,12919,6.32,19:27:35,5.18,4.99,Jamaican Creole
245,JAVNRF,jav,https://en.wikipedia.org/wiki/Javanese_language,http://listen.bible.is/JAVNRF/Matt/1/D,-0.572307,110.885,3921,8.13,9336,7.33,22:21:33,5.96,5.79,"Javanese, Indonesian"
246,JBUIBS,jbu,https://en.wikipedia.org/wiki/Jukun_Takum_language,http://listen.bible.is/JBUIBS/Matt/1/D,7.20236,10.2576,8682,8.19,10204,7.86,22:07:03,6.46,6.18,Jukun
247,JICWBT,jic,https://en.wikipedia.org/wiki/Tol_language,http://listen.bible.is/JICWBT/Matt/1/D,14.6686,-87.0372,15199,7.54,14281,7.19,20:27:40,5.65,5.50,Tol
248,JIVAIE,jiv,https://en.wikipedia.org/wiki/Shuar_language,http://listen.bible.is/JIVAIE/Matt/1/D,-3.45136,-78.1892,10033,7.13,10335,6.86,17:33:21,5.41,5.29,Shuar
249,JMCBST,jmc,https://en.wikipedia.org/wiki/West_Kilimanjaro_language,http://listen.bible.is/JMCBST/Matt/1/D,-3.29385,37.0703,9811,6.92,11135,6.76,21:35:06,5.77,5.57,Kimashami
250,JUNWIN,jun,https://en.wikipedia.org/wiki/Juang_language,http://listen.bible.is/JUNWIN/Matt/1/D,21.2606,85.5845,4667,7.47,5781,6.95,20:38:31,6.52,6.20,Juang
251,JVNTBL,jvn,https://en.wikipedia.org/wiki/Javanese_language,http://listen.bible.is/JVNTBL/Matt/1/D,5.62695,-54.6305,4178,7.81,9322,6.85,15:33:38,5.77,5.60,"Javanese, Caribbean"
252,KAAIBT,kaa,https://en.wikipedia.org/wiki/Karakalpak_language,http://listen.bible.is/KAAIBT/Matt/1/D,39.98,63.3223,6687,7.43,8085,6.66,15:23:05,5.63,5.43,Karakalpak
253,KABCEB,kab,https://en.wikipedia.org/wiki/Kabyle_language,http://listen.bible.is/KABCEB/Matt/1/D,36.4103,4.76137,3703,7.62,4426,7.44,07:45:11,7.01,6.83,Kabyle
254,KACUBS,kac,https://en.wikipedia.org/wiki/Jingpho_language,http://listen.bible.is/KACUBS/Matt/1/D,25.4634,97.3278,9601,7.09,11868,6.35,24:37:01,5.56,5.42,Kachin
255,KAOABM,kao,https://en.wikipedia.org/wiki/Kassonke_language,http://listen.bible.is/KAOABM/Matt/1/D,14.2147,-13.8051,9479,8.58,4768,8.47,09:38:51,7.93,7.55,Khassonke
256,KAQTBL,knt,https://en.wikipedia.org/wiki/Waninawa_language,http://listen.bible.is/KAQTBL/Matt/1/D,-7.97456,-71.56151,17636,nan,19519,nan,32:50:36,5.72,5.57,Capanahua
257,KAZKAZ,kaz,https://en.wikipedia.org/wiki/Kazakh_language,http://listen.bible.is/KAZKAZ/Matt/1/D,41.8729,65.7709,852,7.80,9520,6.80,18:50:35,5.59,5.42,Kazakh
258,KBPRCV,kbp,https://en.wikipedia.org/wiki/Kabiye_language,http://listen.bible.is/KBPRCV/Matt/1/D,8.96816,0.495023,4417,7.97,9447,7.42,14:19:08,5.34,5.20,Kabiye
